brand_id,brand_name,brand_industry,brand_budget,brand_email,influencer_id,influencer_name,influencer_category,followers_count,engagement_rate,trending_points,avg_views,avg_likes,avg_comments,past_campaign_success
1,"Miller, Reed and Schmidt",Automotive,69748,xpearson@example.com,1001,Matthew Miller,Tech,501885,5.9,82,448766,27949,1736,0.62
2,"Humphrey, Hoover and Hart",Beverages,1667938,quinnstacey@example.com,1002,James King,Travel,65578,2.8,77,207510,49250,1438,0.61
3,Beck-Myers,Fashion,537375,stewartbilly@example.net,1003,Tracy White,Automotive,116432,3.7,57,478781,39075,1689,0.7
4,Nelson-Powell,Food & Beverage,1981170,wsmith@example.com,1004,Nicholas Jones,Food,381477,3.8,57,337951,11309,2012,0.7
5,Mccoy-Ortiz,Automotive,926060,williammcdaniel@example.org,1005,Jeffrey Garcia,Sports,310783,2.8,89,293455,25399,1403,0.56
6,Cortez Inc,Apparel,53706,fferguson@example.com,1006,Michael Watts,Lifestyle,999397,5.8,79,325046,31174,145,0.83
7,Kim and Sons,Automotive,1145665,johnwright@example.net,1007,Linda Fernandez,Fashion,80790,3.7,78,407843,32472,159,0.94
8,"Guzman, Butler and Brady",Food & Beverage,913493,lhernandez@example.org,1008,Robyn Wright,Automotive,74540,3.8,67,79182,47830,291,0.76
9,Wilson PLC,Entertainment,1963452,ramoskara@example.org,1009,Alex Orr,Automotive,462991,3.3,68,493372,38301,1227,0.55
10,Beasley-Bautista,Entertainment,715204,tpowell@example.org,1010,Meagan Taylor,Automotive,792369,4.1,64,361751,10871,1964,0.85
11,"Obrien, Maldonado and Lewis",Health & Wellness,1327391,daniel27@example.org,1011,Dawn Weaver,Lifestyle,992396,3.0,77,144078,13270,1629,0.68
12,Benson LLC,Apparel,1962657,kennethstone@example.net,1012,Michael Gonzalez,Food,853196,2.8,59,257842,27306,719,0.57
13,Mendez Ltd,Food & Beverage,177015,sandra45@example.org,1013,Paul Garcia,Sports,105753,2.5,66,389804,39286,1929,0.86
14,Clark Group,Entertainment,456483,jrobles@example.net,1014,Julia Elliott,Automotive,610399,5.3,75,339956,29823,925,0.95
15,"Carson, Mcgee and Perkins",Apparel,871083,diana37@example.net,1015,Mr. Robert Johnson,Fitness,769711,2.5,50,227272,3758,499,0.82
16,Rios Ltd,Entertainment,890299,jasonkemp@example.org,1016,Daisy Norton,Lifestyle,885321,4.3,88,138499,11569,1818,0.71
17,Coleman Inc,Health & Wellness,1882822,mathismegan@example.net,1017,Gabrielle Wallace,Food,365718,2.6,90,348511,47561,2489,0.67
18,Arroyo-Armstrong,Apparel,667737,tmontgomery@example.org,1018,Paul Patterson,Lifestyle,337721,2.7,87,376002,25611,1079,0.93
19,Jones-Lawson,Entertainment,1745513,bbrady@example.org,1019,Donald Gutierrez,Lifestyle,931115,4.5,67,293667,14485,912,0.52
20,Sanchez LLC,Technology,576588,hawkinsgabriel@example.org,1020,Jonathan Freeman,Fashion,751030,2.8,76,289944,17514,1636,0.87
21,Crawford-White,Food & Beverage,724221,caldwelljason@example.org,1021,Nicole Hunter,Automotive,476177,2.4,53,160818,16049,2084,0.57
22,Taylor Ltd,Beverages,1732831,danielhughes@example.com,1022,Alyssa Zuniga,Fashion,908879,3.9,68,422112,39776,2919,0.87
23,"Beck, Mitchell and Gordon",Apparel,360972,ypowell@example.net,1023,Christopher Parsons,Fashion,532185,5.6,92,88284,15712,1985,0.53
24,Martinez-Jacobs,Beverages,1927174,evansjose@example.org,1024,Danielle Moore,Automotive,30321,5.0,76,352487,14717,527,0.69
25,Santos-Wheeler,Apparel,1990095,andrew52@example.org,1025,Kara Winters,Food,301556,2.3,71,467074,10035,1653,0.89
26,Dean PLC,Apparel,1841671,reesesean@example.org,1026,Anne Johnson,Sports,228312,4.4,59,398610,16771,1857,0.72
27,Bentley Group,Apparel,757195,michael20@example.com,1027,John Harris,Lifestyle,881593,3.4,95,322024,4950,1522,0.56
28,Hubbard Ltd,Automotive,79043,lewismichael@example.net,1028,Erika Osborne,Fashion,846170,3.6,94,387702,3333,2748,0.67
29,"Frazier, Anderson and Yates",Beverages,965629,jclark@example.com,1029,Stacey Taylor,Food,624837,4.6,78,99038,18760,2195,0.9
30,Wilkinson Inc,Entertainment,1977076,baileychristopher@example.org,1030,Benjamin Perez,Automotive,812323,5.3,54,82213,23224,2062,0.54
31,Castillo-Thomas,Automotive,1292388,lisawhite@example.net,1031,Brandi Moreno,Fitness,778781,2.8,65,452804,40004,1389,0.8
32,Foster-Schwartz,Food & Beverage,1475363,walkerstacey@example.com,1032,Mark Wood,Food,586617,5.7,91,375404,40771,2088,0.66
33,Boyd and Sons,Entertainment,1885260,andersonlinda@example.net,1033,Jessica Hernandez,Tech,360949,4.9,93,27614,28504,2975,0.92
34,Schultz Inc,Entertainment,1878789,barbertommy@example.org,1034,Victor Coleman,Sports,146532,2.2,78,281697,3635,532,0.89
35,"Smith, Sanchez and Livingston",Beverages,1464915,burkekaren@example.com,1035,Nathaniel Brown,Fashion,269758,3.3,80,375043,49120,787,0.58
36,"Archer, Anderson and Brooks",Entertainment,464741,mariajohnson@example.org,1036,Loretta Harris,Sports,996374,3.3,66,60018,11423,995,0.71
37,"Lynch, Lopez and Lambert",Technology,730179,lisawise@example.org,1037,Patrick Holland,Food,10543,2.5,82,475172,28076,2893,0.86
38,"Ochoa, Douglas and Hayes",Apparel,691848,wagnergerald@example.net,1038,Tiffany Thompson,Food,630945,5.4,74,420450,40508,1114,0.78
39,Carpenter Ltd,Fashion,1521762,kdixon@example.org,1039,Nicole Johnson,Tech,514141,3.1,71,184117,42224,767,0.72
40,Brown and Sons,Health & Wellness,322457,ashleybrennan@example.com,1040,Christopher Ross,Travel,858716,4.9,55,118735,17431,1010,0.66
41,Gutierrez Ltd,Apparel,1060965,jacob15@example.com,1041,Darrell Snyder,Fashion,609913,2.7,93,329113,2459,635,0.9
42,Gross LLC,Beverages,1946018,moorelauren@example.org,1042,Travis Bailey,Fitness,285453,3.1,65,70183,17048,1877,0.51
43,"Mendez, Sherman and Cooper",Food & Beverage,1494308,tnolan@example.org,1043,Andrew Campbell,Sports,145208,3.2,72,431958,1633,1326,0.74
44,Barnett-Castillo,Entertainment,135426,wilsonronald@example.org,1044,Katherine Dixon,Sports,738307,3.4,70,376383,30049,1216,0.61
45,"Pearson, Kelley and Taylor",Automotive,879910,joshua26@example.com,1045,Marvin Smith,Sports,999295,5.8,70,77004,25296,1096,0.85
46,Fowler-Kane,Food & Beverage,1721144,connormendez@example.com,1046,Mr. Harry Baldwin Jr.,Fitness,94894,4.8,93,74828,44089,2874,0.53
47,"Rodriguez, Atkinson and Hall",Beverages,653614,jacobsantonio@example.net,1047,Christopher Frazier,Fashion,145615,5.9,50,448832,23826,168,0.71
48,Ochoa-Armstrong,Health & Wellness,1011327,melissahaynes@example.org,1048,Kimberly Mclaughlin,Automotive,531907,3.3,55,97662,41730,180,0.86
49,Duncan PLC,Entertainment,1787645,bryanelliott@example.org,1049,Stephen Howard,Fashion,139388,3.2,70,167182,41223,2106,0.9
50,Johnson-Campbell,Entertainment,178612,rcummings@example.com,1050,Mitchell Phillips,Travel,455854,3.7,64,245532,33985,2036,0.9
51,Gardner Inc,Apparel,1268715,velezheather@example.org,1051,Grant Russell,Sports,380009,5.8,59,307911,4030,73,0.81
52,"Gray, Patton and Miller",Fashion,1870160,kimberlybrown@example.net,1052,Angel Santos,Fashion,907281,3.2,60,430786,33218,50,0.85
53,Wells-Odom,Food & Beverage,688179,lwilson@example.com,1053,Eric Salazar,Food,622234,3.8,87,371400,13442,1882,0.77
54,Shepard Ltd,Health & Wellness,366485,wesleyortega@example.org,1054,Donna Melendez,Fitness,871440,2.5,68,455387,12288,1957,0.54
55,Allen-Jones,Automotive,297430,andre71@example.com,1055,Melissa Morse,Automotive,444925,3.3,79,219515,27076,94,0.66
56,"Obrien, Oliver and Ferrell",Automotive,601864,dwilliams@example.org,1056,Randall Perez,Fitness,376830,3.6,87,171850,34021,1726,0.72
57,Lane-White,Entertainment,463150,gobrien@example.com,1057,Joanne Harper,Food,298295,2.7,74,469522,14795,1675,0.68
58,"Chavez, Smith and Gill",Automotive,1110665,marissahenry@example.net,1058,Kelly Terry,Food,468270,4.3,58,170262,1593,768,0.61
59,Townsend PLC,Health & Wellness,1692002,jennifer99@example.org,1059,Brian Lawson,Fitness,374275,4.8,56,155072,36300,283,0.67
60,Garcia Group,Automotive,1346630,josestanley@example.com,1060,Kendra Cook,Automotive,861897,3.1,62,189221,39306,2241,0.87
61,Ortega-Novak,Health & Wellness,63038,hawkinsjames@example.com,1061,Christopher Kelly,Lifestyle,660517,4.4,74,328708,19845,1440,0.86
62,"Decker, Smith and Martin",Beverages,310600,joshuaruiz@example.com,1062,Kathleen Patterson,Tech,452716,3.7,95,92832,18065,2717,0.59
63,"Huff, Farley and Sanchez",Entertainment,1985780,urojas@example.net,1063,Nicholas Shelton,Food,195342,3.4,92,326632,36012,2442,0.6
64,Richards Inc,Food & Beverage,281853,mossmichael@example.com,1064,Kimberly Raymond,Fashion,25336,4.6,62,150564,16389,1918,0.89
65,"Gordon, Gonzalez and Watts",Food & Beverage,1370154,jeffreyscott@example.net,1065,Jose Long,Sports,804712,5.2,78,348116,31872,797,0.91
66,Hoover-Bishop,Technology,830811,sarahlewis@example.org,1066,Amy Clements,Tech,675928,4.7,78,446914,25113,345,0.53
67,Johnston Inc,Beverages,1007319,xavierfoley@example.com,1067,Emma Campbell,Fitness,521808,5.9,55,79869,8759,599,0.94
68,Kent Ltd,Automotive,1673247,sherry44@example.net,1068,Pamela Sullivan,Travel,430071,3.0,63,88008,42244,2348,0.69
69,Davis-Dennis,Entertainment,1149876,tonyvillarreal@example.com,1069,Jonathan Palmer,Sports,464528,5.9,64,418407,48882,2548,0.52
70,Glover-Solis,Apparel,164695,nporter@example.com,1070,Brian Booker,Food,508561,3.4,70,403676,20441,330,0.94
71,Bennett Group,Technology,1350174,chavezjeffrey@example.net,1071,Megan Jackson,Fitness,312395,2.3,69,460900,43775,411,0.58
72,"Fernandez, Ochoa and Cross",Fashion,502506,thompsonjames@example.net,1072,Jessica Bradley,Travel,833716,5.0,62,193271,44288,1895,0.72
73,Turner-Rowe,Apparel,438695,martinezabigail@example.org,1073,Cindy Diaz,Tech,279294,2.5,60,493223,47123,320,0.83
74,Olson and Sons,Health & Wellness,1611968,gabrielaoliver@example.com,1074,Rebecca Kim,Fashion,618642,4.4,78,9588,26921,2030,0.63
75,"Schroeder, Ellis and Nguyen",Technology,291876,john15@example.com,1075,Jeremy Robbins,Travel,884543,5.2,67,480775,4121,2288,0.95
76,"Harris, Lambert and Burgess",Fashion,1881572,bethany06@example.org,1076,Cynthia Johnson,Automotive,877649,2.1,72,449588,13364,390,0.86
77,Parker-Figueroa,Food & Beverage,1019448,kelsey05@example.org,1077,Lance Patel,Lifestyle,116242,2.3,63,62043,33579,1918,0.55
78,Tran-Jones,Entertainment,634059,deannabaker@example.com,1078,Patrick Pollard,Lifestyle,975406,4.4,55,22471,11512,843,0.88
79,Collins-Dyer,Automotive,1153688,alexandra98@example.org,1079,Caleb Adams,Travel,665902,3.2,77,273879,9961,1018,0.77
80,Peck PLC,Health & Wellness,1934023,susankelley@example.net,1080,Tony Thomas,Lifestyle,694159,4.8,81,405050,7819,1593,0.64
81,Johnson-Mckinney,Fashion,328525,tammiehayes@example.org,1081,Monique Briggs,Fitness,25621,3.4,50,499614,10938,145,0.61
82,"Smith, Irwin and Brown",Entertainment,426855,oford@example.net,1082,Mark Cowan,Fashion,543290,4.4,53,267211,49540,1293,0.77
83,Carpenter PLC,Beverages,1582768,eflowers@example.com,1083,Sara Moran,Fitness,382065,5.9,62,197958,27380,517,0.51
84,Curry Ltd,Technology,1554802,edward62@example.org,1084,Francis Zimmerman,Automotive,132088,2.5,93,210408,20544,2861,0.74
85,"Benson, Richardson and Rosales",Beverages,99032,vsanchez@example.org,1085,John Small,Fashion,943259,3.2,81,39866,28907,2146,0.66
86,Brennan-Barry,Automotive,1071918,jessica77@example.org,1086,Phillip Todd,Fitness,228958,6.0,91,13071,34224,723,0.65
87,"Wagner, Scott and Scott",Beverages,1212160,erinbuck@example.com,1087,James Adams,Automotive,677226,3.6,50,118878,12541,1891,0.52
88,"Waters, Andrews and Johnson",Health & Wellness,1946689,myersryan@example.com,1088,Kim Mitchell,Automotive,150003,2.9,90,125808,13157,1968,0.61
89,Donovan Inc,Beverages,295007,aperkins@example.com,1089,Tamara Jones,Tech,400912,5.1,81,255118,22714,1270,0.65
90,"Flowers, Hess and Carter",Food & Beverage,947628,beckdawn@example.net,1090,Carla Robles,Fitness,546207,2.3,56,405600,24195,2359,0.6
91,"Cox, Henson and Alvarez",Health & Wellness,1768757,ujones@example.com,1091,Joshua Harris,Automotive,916519,4.7,55,243783,4730,333,0.66
92,"Harding, Vargas and Schaefer",Beverages,768431,christinemoore@example.org,1092,Mike Mann,Sports,390860,3.6,54,162837,36326,2422,0.59
93,"Johnson, Martinez and Simpson",Automotive,727694,ngarrett@example.net,1093,Jocelyn Bowers,Food,305649,4.5,94,49732,9859,1160,0.79
94,Gomez Inc,Food & Beverage,1025058,jonesstephen@example.com,1094,Jeremy Huerta,Fashion,56421,4.7,86,190712,25836,2323,0.85
95,"Fitzpatrick, Harrison and Lee",Technology,1097811,yoderdiana@example.org,1095,Michael Martinez,Fitness,225495,4.9,80,134854,13258,2873,0.59
96,Jenkins Ltd,Apparel,1435746,andrea68@example.com,1096,Karen Brown,Fitness,50274,4.5,82,245080,6525,803,0.71
97,Horne Group,Technology,1489217,michael01@example.org,1097,Trevor Mcintyre,Automotive,944537,2.9,53,83200,25084,1527,0.94
98,"Cohen, Rivera and Wright",Entertainment,467209,vodom@example.com,1098,Carla Moyer,Sports,423572,3.4,75,32843,32622,1788,0.8
99,Crawford Inc,Food & Beverage,1074341,eatongregory@example.com,1099,Ryan Jones,Fashion,809842,3.6,68,168794,11784,613,0.72
100,"Perez, Ferrell and Riley",Apparel,81582,hensondavid@example.org,1100,Marissa Payne,Tech,187202,5.2,68,8113,11805,178,0.78
101,Riggs Ltd,Entertainment,301627,ronaldparks@example.com,1101,Andrew Drake,Fitness,704656,2.1,78,249909,45909,122,0.89
102,Hill LLC,Health & Wellness,1227997,jeffrey99@example.net,1102,Grace Hull,Sports,929135,4.9,73,315760,45875,619,0.9
103,"Weaver, Lee and Singh",Apparel,1504727,mramsey@example.org,1103,Angela Garner,Automotive,500175,2.7,81,112216,11633,1028,0.72
104,Fisher-Fuentes,Beverages,556608,morenoclifford@example.org,1104,William Keller,Automotive,138970,3.1,57,371555,36118,186,0.8
105,Dunn-Brewer,Fashion,328232,samuel19@example.com,1105,Kathleen Smith,Food,196009,2.5,94,400915,30062,691,0.67
106,"Bowen, Leonard and Robinson",Automotive,1570128,william41@example.com,1106,Julia Cook,Automotive,328518,3.5,62,351080,11984,881,0.77
107,Fleming LLC,Food & Beverage,226806,akane@example.org,1107,Joshua Stewart,Sports,522782,3.7,94,406193,7182,1325,0.78
